Таблица,Вид объекта,Разделы ЦИМ,Класс IFC,Элемент,Код МССК,Раздел таблицы,№,Набор атрибутов,Набор атрибутов (как в источнике),Наименование параметра,Имя параметра IFC,Тип данных,Ед. изм.,Пример,Источник
Б.3.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (Общая площадь),ПЗ 03,Местоположение,8,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.3.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (Общая площадь),ПЗ 03,Идентификация,9,RusSet_Identification,RusSet_Identification,Категория функциональной зоны,RUS_Zone,Текстовый,-,Общая площадь,Приложение 2
Б.3.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (Общая площадь),ПЗ 03,Материалы АГР,10,RusSet_AGR,RusSet_AGR,Подземный этаж,RUS_BasementFloor,Булевый,-,да/нет,Приложение 2
Б.3.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (Общая площадь),ПЗ 03,Материалы АГР,11,RusSet_AGR,,Плавающая высотная отметка уровня,RUS_GroundFloor,Булевый,-,да/нет,Приложение 2
Б.3.2,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSpace,Зона (Общая площадь),ПЗ 03,Материалы АГР,12,RusSet_AGR,,Жилая зона,RUS_ResidentalRoom,Булевый,-,да/нет,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 10 20,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Перегородка,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Общие данные,3,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Перегородка,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Длина,RUS_Length,Вещественный,мм,2100,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Количественные параметры,5,RusSet_Quantities,,Толщина,RUS_Thickness,Вещественный,мм,150,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Количественные параметры,6,RusSet_Quantities,,Высота,RUS_Height,Вещественный,мм,3300,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Количественные параметры,7,RusSet_Quantities,,Объем,RUS_Volume,Вещественный,м3,0.7,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Местоположение,8,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.4,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWall,"Стена, перегородка","ЭЛ 20 20 06, ЭЛ 30 10 15, ЭЛ 30 10 20, ЭЛ 30 10 36, ЭЛ 30 10 75, ЭЛ 30 10 76, ЭЛ 30 10 77, ЭЛ 30 10 78, ЭЛ 30 10 79, ЭЛ 30 16 77, ЭЛ 30 16 78",Местоположение,9,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 16 51,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Пилястра,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Общие данные,3,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Пилястра,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Длина,RUS_Length,Вещественный,мм,2100,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Количественные параметры,5,RusSet_Quantities,,Ширина,RUS_Width,Вещественный,мм,150,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Количественные параметры,6,RusSet_Quantities,,Высота,RUS_Height,Вещественный,мм,600,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Количественные параметры,7,RusSet_Quantities,,Диаметр,RUS_Diametr,Вещественный,мм,300,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Количественные параметры,8,RusSet_Quantities,,Объем,RUS_Volume,Вещественный,м3,0.7,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Местоположение,9,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.5,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcColumn,"Колонна, пилястра","ЭЛ 30 16 15, ЭЛ 30 16 25, ЭЛ 30 16 40, ЭЛ 30 16 42, ЭЛ 30 16 50, ЭЛ 30 16 51",Местоположение,10,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.6,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcStair,Лестница,"ЭЛ 30 24 30, ЭЛ 30 24 35",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 24 30,Приложение 2
Б.6,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcStair,Лестница,"ЭЛ 30 24 30, ЭЛ 30 24 35",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Лестница монолитная,Приложение 2
Б.6,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcStair,Лестница,"ЭЛ 30 24 30, ЭЛ 30 24 35",Общие данные,3,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Лестница,Приложение 2
Б.6,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcStair,Лестница,"ЭЛ 30 24 30, ЭЛ 30 24 35",Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Ширина,RUS_Width,Вещественный,мм,2100,Приложение 2
Б.6,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcStair,Лестница,"ЭЛ 30 24 30, ЭЛ 30 24 35",Количественные параметры,5,RusSet_Quantities,,Высота,RUS_Height,Вещественный,мм,3300,Приложение 2
Б.6,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcStair,Лестница,"ЭЛ 30 24 30, ЭЛ 30 24 35",Местоположение,6,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.6,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcStair,Лестница,"ЭЛ 30 24 30, ЭЛ 30 24 35",Местоположение,7,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 24 40,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Пандус монолитная,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Общие данные,3,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Пандус,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Уклон,RUS_Slope,Вещественный,˚,20,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Количественные параметры,5,RusSet_Quantities,,Ширина,RUS_Width,Вещественный,мм,2100,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Количественные параметры,6,RusSet_Quantities,,Высота,RUS_Height,Вещественный,мм,3300,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Местоположение,7,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.7,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcRamp,"Пандус, рампа","ЭЛ 30 24 40, ЭЛ 30 24 60",Местоположение,8,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 10 40,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Общие данные,2,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Перекрытие монолитное,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Общие данные,3,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Перекрытие,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Количественные параметры,4,RusSet_Quantities,RusSet_Quantities,Толщина,RUS_Thickness,Вещественный,мм,150,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Количественные параметры,5,RusSet_Quantities,,Длина,RUS_Length,Вещественный,мм,21000,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Количественные параметры,6,RusSet_Quantities,,Объем,RUS_Volume,Вещественный,м3,20,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Количественные параметры,7,RusSet_Quantities,,Ширина,RUS_Width,Вещественный,мм,10100,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Местоположение,8,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.8,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcSlab,Перекрытие,"ЭЛ 30 10 40, ЭЛ 30 10 56, ЭЛ 30 10 57, ЭЛ 30 10 58, ЭЛ 30 10 80, ЭЛ 30 16 25, ЭЛ 30 24 20, ЭЛ 30 24 50, ЭЛ 30 24 51, ЭЛ 60 20 13",Местоположение,9,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 18 40,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Общие данные,2,RusSet_Common,,Код материала МССК,RUS_MSSK_Material_Code,Текстовый,-,СТ 10 17 20 10,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Общие данные,3,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Окно,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Общие данные,4,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Окно,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Общие данные,5,RusSet_Common,,Наименование материала МССК,RUS_MSSK_Material_Name,Текстовый,-,Алюминий,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Количественные параметры,6,RusSet_Quantities,RusSet_Quantities,Ширина,RUS_Width,Вещественный,мм,1000,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Количественные параметры,7,RusSet_Quantities,,Высота,RUS_Height,Вещественный,мм,2100,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Количественные параметры,8,RusSet_Quantities,,Высота подоконника,RUS_SillHeight,Вещественный,мм,900,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Количественные параметры,9,RusSet_Quantities,,Площадь остекления,RUS_GlazingArea,Вещественный,м2,20,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Местоположение,10,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.9,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcWindow,"Окно, балконный блок, остекление витража","ЭЛ 20 30 24, ЭЛ 30 18 09, ЭЛ 30 18 40, ЭЛ 30 18 52, ЭЛ 30 18 52 10",Местоположение,11,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Общие данные,1,RusSet_Common,RusSet_Common,Код элемента МССК,RUS_MSSK_Element_Code,Текстовый,-,ЭЛ 30 18 30,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Общие данные,2,RusSet_Common,,Код материала МССК,RUS_MSSK_Material_Code,Текстовый,-,СТ 10 17 20 10,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Общие данные,3,RusSet_Common,,Наименование,RUS_Name,Текстовый,-,Ворота,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Общие данные,4,RusSet_Common,,Наименование элемента МССК,RUS_MSSK_Element_Name,Текстовый,-,Дверь,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Общие данные,5,RusSet_Common,,Наименование материала МССК,RUS_MSSK_Material_Name,Текстовый,-,Алюминий,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Количественные параметры,6,RusSet_Quantities,RusSet_Quantities,Ширина,RUS_Width,Вещественный,мм,1000,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Количественные параметры,7,RusSet_Quantities,,Высота,RUS_Height,Вещественный,мм,2100,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Местоположение,8,RusSet_Location,RusSet_Location,Номер объекта (корпуса),RUS_Object,Текстовый,-,К01,Приложение 2
Б.10,Непроизводственного назначения,Объемно-планировочные и архитектурные решения,IfcDoor,"Дверь, ворота, люк","ЭЛ 30 18 20, ЭЛ 30 18 20 01, ЭЛ 30 18 20 02, ЭЛ 30 18 30, ЭЛ 30 18 30 10, ЭЛ 30 18 30 20, ЭЛ 30 18 30 30, ЭЛ 30 18 30 31, ЭЛ 30 18 50, ЭЛ 30 18 50 10, ЭЛ 30 18 50 20, ЭЛ 35 01 01, ЭЛ 35 01 02, ЭЛ 40 50 27 06",Местоположение,9,RusSet_Location,,Номер подобъекта (секции),RUS_Object_Sub,Текстовый,-,С01,Приложение 2
